GKr_b,PCa_b,ADP90
0.00673803396038711,4.00608410525769e-05,440.0
0.010689421265106648,3.6005393567278985e-05,381.0
0.005326020896993577,7.435593421828748e-05,510.0
0.008083278333675116,2.1896617517590524e-05,393.0
0.0027203407583758234,5.3413357290223244e-05,543.0
0.009398002010025084,2.675562561747432e-05,384.0
0.004049280997272581,5.840668479238451e-05,518.0
0.012003225827403366,4.0845141953572635e-05,372.0
0.006655275835003704,7.933427498933673e-05,487.0
0.01027870913222432,7.46616532586217e-05,424.0
0.005536695652175695,3.631485101093352e-05,454.0
0.007990965098142623,5.371914308775962e-05,437.0
0.0032494147119112313,2.220614171844721e-05,469.0
0.011212610920891165,3.5148226397827267e-05,374.0
0.005864448721054941,6.706978145313264e-05,489.0
0.008926249094679952,1.4476967037439348e-05,369.0
0.0035776253060437737,5.2689721214368944e-05,520.0
0.007201082570664584,6.599858997647464e-05,463.0
0.0024597046594135464,2.7922283609181646e-05,498.0
0.009806147458218038,8.036366348412634e-05,435.0
0.005063999429624528,4.857428325597942e-05,481.0
0.009981267882697284,5.622224043381215e-05,412.0
0.004613552347850054,2.0198582562401892e-05,440.0
0.007533865745924413,7.277272790928186e-05,464.0
0.0021653800937347116,3.866526837718487e-05,528.0
0.008316439345106483,4.286972237077356e-05,420.0
0.0035946532973088327,7.684820255522431e-05,560.0
0.011077610494568943,2.438818281774223e-05,361.0
0.0063553628579713405,6.027858940210939e-05,472.0
0.008008949828892945,8.238937603567542e-05,465.0
0.002640637253690511,4.608721115884186e-05,531.0
0.010768738770484924,6.363214605745674e-05,409.0
0.005400889289099723,2.9793054780706766e-05,446.0
0.011551962875761091,1.698119391013682e-05,345.0
0.006829502429720014,5.0681167089164267e-05,452.0
0.00910471966881305,3.3260296278417114e-05,397.0
0.004383030243124813,6.941907111813129e-05,526.0
0.011798736251145601,6.0943093982309107e-05,394.0
0.0064260892261751,2.259575741623342e-05,417.0
0.009508828604221344,7.501757325862349e-05,435.0
0.004135411762911826,4.350403809246421e-05,492.0
0.007761470901407302,3.936397089880705e-05,423.0
0.003044616343732923,7.101449627687038e-05,567.0
0.01036514756102115,1.847047720362246e-05,360.0
0.005647831113543361,5.6959075920999056e-05,481.0
0.00872172132860869,6.984828993935883e-05,442.0
0.003348476962279528,3.1771449253678324e-05,487.0
0.01132339932527393,4.923055316579342e-05,389.0
0.005950617751758545,1.744063914079964e-05,414.0
0.00957669145129621,3.018811216835678e-05,387.0
0.004859162796381861,6.210913342681528e-05,504.0
0.007287559189274907,4.4534043048292406e-05,437.0
0.0025708018557168543,8.274626290683448e-05,610.0
0.007427662226185202,2.040974113416672e-05,399.0
0.0020740097233094275,5.43876875217706e-05,563.0
0.010190996988490223,3.694512479265034e-05,388.0
0.004838115806970746,7.283499705863e-05,520.0
0.010986548991315067,7.757207443264127e-05,417.0
0.006249467001389712,4.154788224284351e-05,450.0
0.00854069401230663,5.913948459808528e-05,435.0
0.003804074815195054,2.5031491269141437e-05,465.0
0.010662574117816985,4.708940515552462e-05,394.0
0.005309480126854033,8.078884453770519e-05,518.0
0.008218717801757158,2.8385764521330595e-05,401.0
0.0028651619209907947,6.454400504265726e-05,560.0
0.009013619298487902,5.1170683766499163e-05,420.0
0.004277173178363592,1.4867984571278095e-05,433.0
0.011776178675889969,6.743071026426554e-05,400.0
0.0070389627394266425,3.3591085190668705e-05,426.0
0.007054478743299842,7.362626906742156e-05,473.0
0.002332846809271723,3.7324633815109734e-05,521.0
0.009814571096375584,5.488617874008418e-05,413.0
0.00509216934600845,2.1047617609396578e-05,434.0
